woj,pow,rok,kod,liczba_proc_nk_a,liczba_proc_nk_c,rodziny_wszczete,liczba_osob_ogol,liczba_osob_kobiety,liczba_osob_mezczyzni,liczba_osob_dzieci,odsetek_bezrobotnych_dlugotrwalych,wielkosc_wynagrodzenia,odsetek_rozwodow,liczba_osob_na_1_izbe,przecietna_powiechnia_mieszkania_na_1_osobe
dolnośląskie,boleslawiecki,2023,0201000,42,181,383,493,294.0,95.0,104.0,0.2585,6871,0.3928,0.61,32.4
dolnośląskie,dzierzoniowski,2023,0202000,65,132,291,402,216.0,26.0,160.0,0.3396,6459,0.4966,0.65,28.7
dolnośląskie,gorowski,2023,0204000,23,56,125,273,211.0,23.0,39.0,0.533,6060,0.3388,0.64,30.2
dolnośląskie,glogowski,2023,0203000,36,199,428,770,333.0,72.0,365.0,0.4918,6660,0.3771,0.65,27.9
dolnośląskie,jaworski,2023,0205000,12,59,119,123,93.0,8.0,22.0,0.5452,7059,0.3684,0.64,29.9
dolnośląskie,kamiennogorski,2023,0207000,26,137,171,285,130.0,27.0,128.0,0.3953,6213,0.4196,0.67,28.2
dolnośląskie,karkonoski,2023,0206000,41,83,165,195,111.0,23.0,61.0,0.6051,6287,0.4525,0.55,37.7
dolnośląskie,klodzki,2023,0208000,53,312,465,500,275.0,52.0,173.0,0.5619,6527,0.4356,0.61,32.0
dolnośląskie,legnicki,2023,0209000,10,94,144,236,145.0,15.0,76.0,0.5719,6977,0.3981,0.62,32.8
dolnośląskie,lubanski,2023,0210000,21,86,127,196,91.0,22.0,83.0,0.4346,6215,0.4593,0.62,30.3
dolnośląskie,lubinski,2023,0211000,60,172,429,620,348.0,66.0,206.0,0.3805,12804,0.3672,0.61,30.4
dolnośląskie,lwowecki,2023,0212000,18,94,145,260,120.0,29.0,111.0,0.4778,6194,0.4589,0.62,31.6
dolnośląskie,m. jelenia gora,2023,0261000,32,55,190,198,105.0,39.0,54.0,0.4424,7101,0.4239,0.57,32.5
dolnośląskie,m. legnica,2023,0262000,49,90,358,531,293.0,38.0,200.0,0.5154,6901,0.3873,0.59,31.2
dolnośląskie,m. walbrzych,2023,0265000,61,155,424,476,286.0,25.0,165.0,0.3488,7584,0.5408,0.63,27.9
dolnośląskie,m. wroclaw,2023,0264000,264,624,2350,4223,1931.0,592.0,1700.0,0.422,8334,0.3625,0.54,34.1
dolnośląskie,milicki,2023,0213000,8,54,70,79,54.0,9.0,16.0,0.4614,6083,0.5,0.65,30.4
dolnośląskie,olesnicki,2023,0214000,66,132,283,503,236.0,93.0,174.0,0.463,6496,0.3325,0.63,31.4
dolnośląskie,olawski,2023,0215000,34,94,224,461,194.0,101.0,166.0,0.4546,6871,0.4209,0.62,31.8
dolnośląskie,polkowicki,2023,0216000,31,145,288,525,314.0,34.0,177.0,0.4899,7764,0.3735,0.65,29.5
dolnośląskie,strzelinski,2023,0217000,30,47,146,340,140.0,46.0,154.0,0.5701,7147,0.4527,0.63,31.7
dolnośląskie,trzebnicki,2023,0220000,33,266,370,357,216.0,34.0,107.0,0.4931,6743,0.3226,0.63,33.8
dolnośląskie,walbrzyski,2023,0221000,53,88,149,234,125.0,20.0,89.0,0.5018,6099,0.4785,0.66,29.5
dolnośląskie,wolowski,2023,0222000,12,79,83,114,57.0,7.0,50.0,0.6251,7922,0.4,0.62,30.0
dolnośląskie,wroclawski,2023,0223000,59,297,557,804,417.0,136.0,251.0,0.4058,8214,0.3522,0.57,40.4
dolnośląskie,zgorzelecki,2023,0225000,25,110,228,316,145.0,55.0,116.0,0.5478,6812,0.4882,0.61,30.6
dolnośląskie,zabkowicki,2023,0224000,13,126,164,308,134.0,73.0,101.0,0.4517,6223,0.4385,0.62,32.2
dolnośląskie,zlotoryjski,2023,0226000,7,74,128,292,112.0,76.0,104.0,0.5426,7310,0.3942,0.64,30.1
dolnośląskie,sredzki,2023,0218000,18,75,200,160,81.0,25.0,54.0,0.4673,7322,0.45,0.6,34.7
dolnośląskie,swidnicki,2023,0219000,76,392,644,950,573.0,101.0,276.0,0.4329,6764,0.4882,0.64,30.1
kujawsko - pomorskie,aleksandrowski,2023,0401000,19,74,101,180,83.0,11.0,86.0,0.532,6019,0.2844,0.62,32.2
kujawsko - pomorskie,brodnicki,2023,0402000,26,168,224,367,181.0,23.0,163.0,0.3844,5919,0.2776,0.67,29.6
kujawsko - pomorskie,bydgoski,2023,0403000,73,215,297,648,243.0,113.0,292.0,0.3323,6461,0.5469,0.63,35.3
kujawsko - pomorskie,chelminski,2023,0404000,24,121,173,276,154.0,32.0,90.0,0.5746,5970,0.3377,0.74,26.2
kujawsko - pomorskie,golubsko-dobrzynski,2023,0405000,21,89,165,220,114.0,24.0,82.0,0.628,6678,0.275,0.72,27.8
kujawsko - pomorskie,grudziadzki,2023,0406000,9,79,79,145,65.0,7.0,73.0,0.5571,6220,0.3525,0.71,29.3
kujawsko - pomorskie,inowroclawski,2023,0407000,70,210,397,690,318.0,57.0,315.0,0.5272,6449,0.4859,0.68,26.9
kujawsko - pomorskie,lipnowski,2023,0408000,16,96,118,206,88.0,17.0,101.0,0.535,5658,0.3915,0.73,26.7
kujawsko - pomorskie,m. bydgoszcz,2023,0461000,32,442,676,949,570.0,61.0,318.0,0.3264,7478,0.4654,0.6,28.5
kujawsko - pomorskie,m. grudziadz,2023,0462000,73,82,402,806,320.0,41.0,445.0,0.5403,6034,0.4226,0.62,27.6
kujawsko - pomorskie,m. torun,2023,0463000,50,318,318,384,233.0,40.0,111.0,0.4392,7308,0.359,0.57,30.2
kujawsko - pomorskie,m. wloclawek,2023,0464000,67,228,409,539,341.0,73.0,125.0,0.6298,6687,0.5408,0.63,27.1
kujawsko - pomorskie,mogilenski,2023,0409000,6,51,67,109,61.0,8.0,40.0,0.5469,6386,0.4128,0.69,28.5
kujawsko - pomorskie,nakielski,2023,0410000,32,169,264,398,173.0,56.0,169.0,0.5172,6603,0.573,0.73,26.6
kujawsko - pomorskie,radziejowski,2023,0411000,17,57,57,136,57.0,40.0,39.0,0.6495,6076,0.3864,0.7,29.6
kujawsko - pomorskie,rypinski,2023,0412000,1,41,64,99,54.0,7.0,38.0,0.5115,5844,0.3281,0.7,28.1
kujawsko - pomorskie,sepolenski,2023,0413000,37,138,158,345,141.0,49.0,155.0,0.5479,5892,0.5347,0.74,26.0
kujawsko - pomorskie,torunski,2023,0415000,29,119,171,270,127.0,12.0,131.0,0.4623,6185,0.4394,0.68,31.3
kujawsko - pomorskie,tucholski,2023,0416000,37,87,108,194,101.0,7.0,86.0,0.5096,5840,0.3717,0.68,28.6
kujawsko - pomorskie,wabrzeski,2023,0417000,26,21,58,107,33.0,8.0,66.0,0.6238,6249,0.4124,0.71,27.3
kujawsko - pomorskie,wloclawski,2023,0418000,23,116,185,306,147.0,36.0,123.0,0.6873,5925,0.3696,0.71,29.8
kujawsko - pomorskie,swiecki,2023,0414000,33,123,210,381,160.0,39.0,182.0,0.4862,6561,0.4315,0.69,28.2
kujawsko - pomorskie,zninski,2023,0419000,46,183,255,499,229.0,60.0,210.0,0.4971,5985,0.5308,0.7,28.0
lubelskie,bialski,2023,0601000,40,161,270,393,233.0,45.0,115.0,0.5697,5953,0.375,0.62,33.9
lubelskie,bilgorajski,2023,0602000,33,154,200,404,189.0,68.0,147.0,0.4217,5694,0.3731,0.68,31.3
lubelskie,hrubieszowski,2023,0604000,13,66,142,202,126.0,22.0,54.0,0.636,6247,0.5118,0.66,31.3
lubelskie,janowski,2023,0605000,5,109,104,173,110.0,30.0,33.0,0.6418,6336,0.2197,0.74,30.2
lubelskie,krasnostawski,2023,0606000,24,83,117,153,87.0,19.0,47.0,0.6422,6131,0.4841,0.62,33.3
lubelskie,krasnicki,2023,0607000,22,78,134,220,137.0,26.0,57.0,0.5787,5937,0.4342,0.68,30.3
lubelskie,lubartowski,2023,0608000,38,147,223,370,186.0,21.0,163.0,0.6212,5894,0.3462,0.65,32.5
lubelskie,lubelski,2023,0609000,57,198,390,571,286.0,51.0,234.0,0.4286,5868,0.3876,0.63,35.9
lubelskie,m. biala podlaska,2023,0661000,13,103,168,338,148.0,11.0,179.0,0.547,6400,0.7742,0.58,31.8
lubelskie,m. chelm,2023,0662000,21,55,131,167,96.0,10.0,61.0,0.5168,6349,0.4862,0.6,29.3
lubelskie,m. lublin,2023,0663000,129,672,1000,1348,811.0,117.0,420.0,0.5559,7443,0.4559,0.56,31.0
lubelskie,m. zamosc,2023,0664000,4,51,181,219,162.0,23.0,34.0,0.5831,6679,0.6761,0.61,29.6
lubelskie,opolski,2023,0612000,55,159,218,362,201.0,51.0,110.0,0.5711,5808,0.4615,0.69,30.6
lubelskie,parczewski,2023,0613000,15,42,86,109,63.0,13.0,33.0,0.6128,6140,0.3839,0.62,32.9
lubelskie,pulawski,2023,0614000,78,239,374,566,332.0,65.0,169.0,0.4362,6871,0.4723,0.62,31.8
lubelskie,radzynski,2023,0615000,40,69,91,180,104.0,26.0,50.0,0.5654,6233,0.2768,0.65,32.3
lubelskie,rycki,2023,0616000,16,106,141,242,127.0,23.0,92.0,0.519,5946,0.3218,0.64,31.5
lubelskie,tomaszowski,2023,0618000,28,60,111,244,98.0,25.0,121.0,0.5364,5859,0.3788,0.66,32.1
lubelskie,wlodawski,2023,0619000,6,39,94,129,85.0,13.0,31.0,0.6331,6000,0.4912,0.62,32.4
lubelskie,zamojski,2023,0620000,18,123,234,477,222.0,58.0,197.0,0.5555,5642,0.3824,0.65,34.4
lubelskie,lukowski,2023,0611000,13,178,267,556,251.0,50.0,255.0,0.4045,5816,0.2444,0.68,30.9
lubelskie,leczynski,2023,0610000,45,96,221,342,204.0,47.0,91.0,0.4764,10420,0.4394,0.68,30.5
lubelskie,swidnicki,2023,0617000,27,171,228,474,199.0,80.0,195.0,0.5747,6954,0.433,0.64,30.3
lubelskie,chelmski,2023,0603000,27,86,175,279,150.0,16.0,113.0,0.5365,5793,0.4039,0.67,31.1
lubuskie,gorzowski,2023,0801000,13,105,156,153,103.0,21.0,29.0,0.2957,7139,0.3059,0.64,31.5
lubuskie,krosnienski,2023,0802000,19,62,93,219,110.0,42.0,67.0,0.3535,6637,0.418,0.64,30.0
lubuskie,m. gorzow wielkopolski,2023,0861000,44,227,331,632,268.0,38.0,326.0,0.2655,6713,0.3651,0.58,29.9
lubuskie,m. zielona gora,2023,0862000,191,188,680,1258,451.0,62.0,745.0,0.3414,7487,0.4052,0.58,33.3
lubuskie,miedzyrzecki,2023,0803000,29,166,262,766,308.0,259.0,199.0,0.3958,6625,0.3578,0.63,30.2
lubuskie,nowosolski,2023,0804000,48,254,342,422,260.0,57.0,105.0,0.3611,6766,0.3804,0.64,29.4
lubuskie,strzelecko-drezdenecki,2023,0806000,37,200,162,275,134.0,63.0,78.0,0.4154,6383,0.2658,0.66,28.5
lubuskie,sulecinski,2023,0807000,7,21,82,99,65.0,14.0,20.0,0.321,6018,0.3551,0.61,32.1
lubuskie,slubicki,2023,0805000,5,38,77,84,54.0,9.0,21.0,0.3481,6701,0.3837,0.62,30.4
lubuskie,wschowski,2023,0812000,11,102,112,150,83.0,29.0,38.0,0.4706,6247,0.3121,0.66,30.8
lubuskie,zielonogorski,2023,0809000,51,178,250,477,226.0,102.0,149.0,0.4926,6866,0.3234,0.65,31.4
lubuskie,swiebodzinski,2023,0808000,20,78,121,303,117.0,88.0,98.0,0.2711,6975,0.3663,0.64,29.8
lubuskie,zaganski,2023,0810000,28,105,174,243,116.0,49.0,78.0,0.3634,6259,0.4795,0.64,29.4
lubuskie,zarski,2023,0811000,96,110,243,365,182.0,40.0,143.0,0.4346,6929,0.5033,0.64,29.4
mazowieckie,bialobrzeski,2023,1401000,0,66,96,128,82.0,16.0,30.0,0.525,6300,0.2391,0.66,32.1
mazowieckie,ciechanowski,2023,1402000,12,321,420,467,378.0,51.0,38.0,0.5032,6842,0.4606,0.63,31.0
mazowieckie,garwolinski,2023,1403000,17,195,348,499,307.0,59.0,133.0,0.5696,6409,0.274,0.66,32.8
mazowieckie,gostyninski,2023,1404000,5,57,84,122,60.0,23.0,39.0,0.5847,6601,0.3704,0.65,29.7
mazowieckie,grodziski,2023,1405000,46,117,186,239,121.0,13.0,105.0,0.3789,7897,0.5573,0.57,39.8
mazowieckie,grojecki,2023,1406000,23,133,235,284,170.0,36.0,78.0,0.3446,6985,0.3718,0.63,33.9
mazowieckie,kozienicki,2023,1407000,8,89,256,342,234.0,52.0,56.0,0.569,8404,0.3014,0.63,32.5
mazowieckie,legionowski,2023,1408000,33,202,313,438,252.0,69.0,117.0,0.4683,6827,0.3555,0.56,38.8
mazowieckie,lipski,2023,1409000,1,48,91,156,121.0,34.0,1.0,0.6111,6451,0.3429,0.64,33.3
mazowieckie,m. ostroleka,2023,1461000,11,81,138,138,101.0,11.0,26.0,0.5312,7571,0.5783,0.58,30.5
mazowieckie,m. plock,2023,1462000,64,236,435,517,372.0,51.0,94.0,0.6047,9151,0.5424,0.59,29.2
mazowieckie,m. radom,2023,1463000,45,567,1617,1617,1337.0,198.0,82.0,0.5385,7041,0.4212,0.64,28.8
mazowieckie,m. siedlce,2023,1464000,32,76,172,219,118.0,36.0,65.0,0.5452,7024,0.5182,0.58,30.6
mazowieckie,m. st. warszawa,2023,1465000,473,1530,3963,6672,2971.0,639.0,3062.0,0.4212,9625,0.4024,0.56,34.1
mazowieckie,makowski,2023,1411000,5,64,110,155,88.0,27.0,40.0,0.647,6268,0.2692,0.63,32.5
mazowieckie,minski,2023,1412000,76,200,406,530,367.0,47.0,116.0,0.4786,6445,0.3635,0.62,33.9
mazowieckie,mlawski,2023,1413000,18,108,248,321,190.0,29.0,102.0,0.4613,6083,0.3059,0.64,31.0
mazowieckie,nowodworski,2023,1414000,16,141,247,297,203.0,25.0,69.0,0.5349,8250,0.3661,0.61,33.2
mazowieckie,ostrowski,2023,1416000,8,91,177,184,150.0,24.0,10.0,0.5674,6304,0.3633,0.64,31.6
mazowieckie,ostrolecki,2023,1415000,25,136,213,291,184.0,40.0,67.0,0.493,6381,0.2472,0.7,31.6
mazowieckie,otwocki,2023,1417000,41,108,300,375,241.0,49.0,85.0,0.3998,7241,0.3896,0.61,35.7
mazowieckie,piaseczynski,2023,1418000,84,255,504,757,402.0,95.0,260.0,0.4357,7302,0.6161,0.54,43.3
mazowieckie,pruszkowski,2023,1421000,50,151,280,386,211.0,66.0,109.0,0.4008,8411,0.4505,0.55,39.6
mazowieckie,przasnyski,2023,1422000,8,74,151,194,131.0,14.0,49.0,0.5745,6316,0.276,0.68,29.8
mazowieckie,przysuski,2023,1423000,1,33,65,69,57.0,10.0,2.0,0.6604,6436,0.131,0.68,30.2
mazowieckie,pultuski,2023,1424000,3,72,126,152,111.0,12.0,29.0,0.6094,6240,0.4061,0.63,32.8
mazowieckie,plocki,2023,1419000,170,283,435,679,369.0,102.0,208.0,0.5568,6536,0.3072,0.67,32.1
mazowieckie,plonski,2023,1420000,15,157,288,315,250.0,29.0,36.0,0.5682,6421,0.362,0.65,31.0
mazowieckie,radomski,2023,1425000,30,263,512,752,446.0,94.0,212.0,0.5609,6042,0.225,0.74,28.9
mazowieckie,siedlecki,2023,1426000,23,118,204,293,174.0,45.0,74.0,0.5109,6084,0.2938,0.66,33.1
mazowieckie,sierpecki,2023,1427000,5,71,139,155,120.0,13.0,22.0,0.5864,6219,0.2959,0.67,29.1
mazowieckie,sochaczewski,2023,1428000,30,189,389,519,365.0,70.0,84.0,0.2029,7733,0.3463,0.66,31.1
mazowieckie,sokolowski,2023,1429000,6,92,193,255,174.0,33.0,48.0,0.4971,6368,0.2965,0.58,35.0
mazowieckie,szydlowiecki,2023,1430000,5,54,121,125,91.0,18.0,16.0,0.652,5841,0.2422,0.69,29.2
mazowieckie,warszawski zachodni,2023,1432000,29,109,221,295,184.0,29.0,82.0,0.4899,7981,0.5101,0.55,43.7
mazowieckie,wolominski,2023,1434000,150,385,674,1032,577.0,79.0,376.0,0.4933,6910,0.3967,0.64,33.6
mazowieckie,wyszkowski,2023,1435000,54,169,322,405,192.0,45.0,168.0,0.2838,6264,0.4239,0.66,31.8
mazowieckie,wegrowski,2023,1433000,25,116,207,231,184.0,15.0,32.0,0.465,6615,0.3197,0.6,34.4
mazowieckie,zwolenski,2023,1436000,11,45,100,123,91.0,14.0,18.0,0.5587,6376,0.216,0.7,30.3
mazowieckie,losicki,2023,1410000,11,55,83,130,73.0,17.0,40.0,0.5053,6090,0.1983,0.59,35.0
mazowieckie,zurominski,2023,1437000,8,36,74,76,71.0,3.0,2.0,0.6043,6064,0.2828,0.66,30.2
mazowieckie,zyrardowski,2023,1438000,43,66,159,201,128.0,23.0,50.0,0.6104,7232,0.4865,0.61,32.5
małopolskie,bochenski,2023,1201000,44,167,235,339,170.0,41.0,128.0,0.451,6184,0.3101,0.66,30.9
małopolskie,brzeski,2023,1202000,42,217,276,364,242.0,35.0,87.0,0.4676,5894,0.2961,0.68,30.6
małopolskie,chrzanowski,2023,1203000,72,187,254,351,194.0,12.0,145.0,0.4711,6898,0.3824,0.62,30.5
małopolskie,dabrowski,2023,1204000,13,116,141,221,121.0,38.0,62.0,0.5384,6065,0.2723,0.74,28.3
małopolskie,gorlicki,2023,1205000,17,101,195,334,175.0,30.0,129.0,0.4402,5761,0.2751,0.7,28.1
małopolskie,krakowski,2023,1206000,148,413,604,1136,512.0,163.0,461.0,0.5068,7252,0.2197,0.61,36.1
małopolskie,limanowski,2023,1207000,25,195,275,536,263.0,39.0,234.0,0.4168,5935,0.1509,0.77,27.8
małopolskie,m. krakow,2023,1261000,406,1062,1355,1915,1009.0,184.0,722.0,0.4523,9223,0.3852,0.57,32.8
małopolskie,m. nowy sacz,2023,1262000,28,72,189,304,163.0,45.0,96.0,0.3757,6253,0.4179,0.64,30.4
małopolskie,m. tarnow,2023,1263000,53,159,345,566,213.0,40.0,313.0,0.4831,7650,0.4661,0.62,28.8
małopolskie,miechowski,2023,1208000,10,71,91,149,78.0,13.0,58.0,0.4794,6131,0.3028,0.63,32.3
małopolskie,myslenicki,2023,1209000,50,151,227,347,190.0,25.0,132.0,0.2587,6224,0.1546,0.7,31.4
małopolskie,nowosadecki,2023,1210000,48,313,430,759,373.0,56.0,330.0,0.5143,5909,0.1661,0.76,28.2
małopolskie,nowotarski,2023,1211000,36,252,340,699,316.0,82.0,301.0,0.3121,5858,0.2307,0.71,30.3
małopolskie,olkuski,2023,1212000,35,278,379,669,351.0,78.0,240.0,0.5722,6553,0.2954,0.62,31.0
małopolskie,oswiecimski,2023,1213000,71,210,314,477,248.0,40.0,189.0,0.42,6512,0.214,0.64,30.5
małopolskie,proszowicki,2023,1214000,10,43,84,129,62.0,14.0,53.0,0.4395,6178,0.1724,0.67,33.0
małopolskie,suski,2023,1215000,34,97,151,319,130.0,32.0,157.0,0.3084,6182,0.0246,0.65,32.7
małopolskie,tarnowski,2023,1216000,23,230,368,586,323.0,58.0,205.0,0.5042,5678,0.2695,0.72,29.6
małopolskie,tatrzanski,2023,1217000,11,52,105,193,118.0,18.0,57.0,0.5806,6396,0.2047,0.57,37.9
małopolskie,wadowicki,2023,1218000,52,211,322,606,292.0,42.0,272.0,0.4032,6048,0.1401,0.69,30.3
małopolskie,wielicki,2023,1219000,91,104,361,624,219.0,102.0,303.0,0.4121,7019,0.1408,0.62,34.7
opolskie,brzeski,2023,1601000,60,121,180,443,222.0,23.0,198.0,0.4605,6555,0.4602,0.65,30.0
opolskie,glubczycki,2023,1602000,7,76,102,220,93.0,20.0,107.0,0.5746,6876,0.4286,0.62,31.7
opolskie,kluczborski,2023,1604000,40,108,143,249,116.0,10.0,123.0,0.5521,6450,0.3953,0.63,30.5
opolskie,krapkowicki,2023,1605000,28,104,153,340,113.0,21.0,206.0,0.5562,7254,0.401,0.6,32.9
opolskie,kedzierzynsko-kozielski,2023,1603000,44,118,203,383,162.0,28.0,193.0,0.5396,7528,0.3826,0.58,33.0
opolskie,m. opole,2023,1661000,25,144,288,336,234.0,29.0,73.0,0.4863,7516,0.4979,0.57,33.2
opolskie,namyslowski,2023,1606000,25,53,123,239,115.0,19.0,105.0,0.5872,6620,0.4485,0.63,31.8
opolskie,nyski,2023,1607000,73,236,458,849,320.0,41.0,488.0,0.4396,6422,0.4039,0.63,31.2
opolskie,oleski,2023,1608000,7,66,89,212,80.0,20.0,112.0,0.4667,6255,0.3128,0.62,32.3
opolskie,opolski,2023,1609000,45,143,207,438,164.0,41.0,233.0,0.4552,6431,0.4011,0.6,34.8
opolskie,prudnicki,2023,1610000,19,91,154,351,172.0,30.0,149.0,0.5525,6491,0.2969,0.59,34.4
opolskie,strzelecki,2023,1611000,25,90,131,251,117.0,23.0,111.0,0.4578,6878,0.3413,0.63,30.8
podkarpackie,bieszczadzki,2023,1801000,13,35,63,124,70.0,19.0,35.0,0.5733,6326,0.4348,0.69,27.5
podkarpackie,brzozowski,2023,1802000,17,69,97,185,108.0,20.0,57.0,0.6409,5779,0.1842,0.72,27.4
podkarpackie,debicki,2023,1803000,24,181,266,526,244.0,48.0,234.0,0.3975,6182,0.2651,0.72,28.3
podkarpackie,jaroslawski,2023,1804000,17,106,218,243,145.0,17.0,81.0,0.5685,6081,0.3147,0.72,28.3
podkarpackie,jasielski,2023,1805000,61,300,327,557,297.0,67.0,193.0,0.6058,6179,0.2753,0.72,27.2
podkarpackie,kolbuszowski,2023,1806000,20,89,183,277,165.0,17.0,95.0,0.5,5770,0.2128,0.75,28.0
podkarpackie,krosnienski,2023,1807000,34,251,275,480,244.0,69.0,167.0,0.4327,5553,0.276,0.68,29.4
podkarpackie,leski,2023,1821000,12,14,53,84,54.0,8.0,22.0,0.6329,6434,0.243,0.65,32.0
podkarpackie,lezajski,2023,1808000,12,129,194,307,174.0,18.0,115.0,0.5723,6013,0.1822,0.73,27.7
podkarpackie,lubaczowski,2023,1809000,24,53,93,140,81.0,8.0,51.0,0.4992,5984,0.2347,0.69,29.7
podkarpackie,m. krosno,2023,1861000,30,40,143,138,112.0,14.0,12.0,0.3848,6135,0.5036,0.59,31.1
podkarpackie,m. przemysl,2023,1862000,18,100,175,358,146.0,27.0,185.0,0.6402,6251,0.6077,0.63,28.7
podkarpackie,m. rzeszow,2023,1863000,146,234,446,631,301.0,65.0,265.0,0.6157,7428,0.3618,0.55,34.2
podkarpackie,m. tarnobrzeg,2023,1864000,7,61,124,280,126.0,39.0,115.0,0.5108,6266,0.4101,0.63,28.3
podkarpackie,mielecki,2023,1811000,93,244,322,810,534.0,70.0,206.0,0.4498,6434,0.3189,0.69,28.7
podkarpackie,nizanski,2023,1812000,64,321,210,386,197.0,72.0,117.0,0.5498,5686,0.2832,0.68,30.8
podkarpackie,przemyski,2023,1813000,14,97,144,217,124.0,21.0,72.0,0.5876,5709,0.1934,0.73,29.3
podkarpackie,przeworski,2023,1814000,25,104,148,254,137.0,36.0,81.0,0.5932,5818,0.2031,0.71,29.3
podkarpackie,ropczycko-sedziszowski,2023,1815000,18,131,128,192,112.0,20.0,60.0,0.5245,6169,0.2138,0.76,27.4
podkarpackie,rzeszowski,2023,1816000,53,227,311,614,288.0,80.0,246.0,0.5555,6505,0.3054,0.69,31.1
podkarpackie,sanocki,2023,1817000,41,142,226,257,120.0,26.0,111.0,0.5111,6027,0.3969,0.69,28.7
podkarpackie,stalowowolski,2023,1818000,59,157,240,270,157.0,24.0,89.0,0.403,6705,0.3695,0.66,29.0
podkarpackie,strzyzowski,2023,1819000,9,71,94,155,81.0,16.0,58.0,0.6237,5641,0.2768,0.7,29.6
podkarpackie,tarnobrzeski,2023,1820000,8,79,137,236,134.0,22.0,80.0,0.494,6404,0.3,0.7,28.6
podkarpackie,lancucki,2023,1810000,12,147,218,304,180.0,42.0,82.0,0.5033,5930,0.2745,0.68,30.0
podlaskie,augustowski,2023,2001000,29,182,199,333,167.0,61.0,105.0,0.5906,6705,0.4628,0.61,31.7
podlaskie,bialostocki,2023,2002000,49,329,505,735,369.0,58.0,308.0,0.5128,6296,0.4042,0.57,37.2
podlaskie,bielski,2023,2003000,16,213,274,404,228.0,79.0,97.0,0.4423,7541,0.4915,0.5,39.0
podlaskie,grajewski,2023,2004000,5,149,221,441,197.0,69.0,175.0,0.5521,6782,0.4203,0.69,28.3
podlaskie,hajnowski,2023,2005000,20,121,121,200,83.0,49.0,68.0,0.56,6831,0.4178,0.45,41.8
podlaskie,kolnenski,2023,2006000,12,91,131,325,138.0,67.0,120.0,0.6498,6250,0.3028,0.74,28.1
podlaskie,m. bialystok,2023,2061000,123,738,1090,1471,733.0,111.0,627.0,0.5279,7089,0.5069,0.58,30.3
podlaskie,m. suwalki,2023,2063000,14,96,248,142,96.0,9.0,37.0,0.4215,6329,0.5654,0.65,27.2
podlaskie,m. lomza,2023,2062000,2,18,146,166,122.0,16.0,28.0,0.4639,6702,0.5625,0.61,28.5
podlaskie,moniecki,2023,2008000,10,79,86,162,76.0,19.0,67.0,0.5792,6314,0.3212,0.63,33.0
podlaskie,sejnenski,2023,2009000,2,53,82,80,49.0,7.0,24.0,0.6133,7487,0.3898,0.58,35.8
podlaskie,siemiatycki,2023,2010000,12,174,193,279,147.0,43.0,89.0,0.5921,6192,0.2516,0.53,38.0
podlaskie,sokolski,2023,2011000,22,133,192,370,134.0,66.0,170.0,0.6814,6226,0.3394,0.59,33.4
podlaskie,suwalski,2023,2012000,11,77,103,194,94.0,31.0,69.0,0.4536,6099,0.3043,0.62,35.4
podlaskie,wysokomazowiecki,2023,2013000,8,96,159,269,100.0,37.0,132.0,0.6045,6748,0.3004,0.62,35.1
podlaskie,zambrowski,2023,2014000,11,129,184,197,118.0,35.0,44.0,0.5099,6505,0.3182,0.65,31.0
podlaskie,lomzynski,2023,2007000,4,102,127,248,118.0,37.0,93.0,0.4281,7019,0.2488,0.66,33.8
pomorskie,bytowski,2023,2201000,91,143,205,412,177.0,44.0,191.0,0.4866,6650,0.2283,0.71,27.7
pomorskie,chojnicki,2023,2202000,17,187,256,420,219.0,36.0,165.0,0.5287,6114,0.3033,0.68,29.5
pomorskie,czluchowski,2023,2203000,8,131,226,192,136.0,23.0,33.0,0.5042,6355,0.352,0.68,28.0
pomorskie,gdanski,2023,2204000,80,127,197,324,128.0,11.0,185.0,0.4459,6959,0.4292,0.66,32.9
pomorskie,kartuski,2023,2205000,100,172,398,846,327.0,152.0,367.0,0.2314,6298,0.3458,0.67,33.5
pomorskie,koscierski,2023,2206000,96,136,252,466,170.0,33.0,263.0,0.4533,6159,0.3,0.69,29.9
pomorskie,kwidzynski,2023,2207000,36,73,104,192,66.0,12.0,114.0,0.4552,6579,0.3731,0.73,25.4
pomorskie,leborski,2023,2208000,46,95,213,288,140.0,22.0,126.0,0.5181,6600,0.4506,0.65,30.6
pomorskie,m. gdansk,2023,2261000,209,1077,1077,1268,781.0,99.0,388.0,0.4538,8915,0.3115,0.58,31.8
pomorskie,m. gdynia,2023,2262000,66,309,366,525,262.0,51.0,212.0,0.3353,7890,0.3805,0.59,31.2
pomorskie,m. sopot,2023,2264000,20,66,98,152,83.0,32.0,37.0,0.3209,8478,0.384,0.49,38.4
pomorskie,m. slupsk,2023,2263000,76,245,327,283,166.0,18.0,99.0,0.2904,6870,0.4692,0.59,29.4
pomorskie,malborski,2023,2209000,22,137,248,268,162.0,23.0,83.0,0.446,6077,0.3709,0.69,26.8
pomorskie,nowodworski,2023,2210000,20,80,118,160,64.0,8.0,88.0,0.4725,6456,0.2406,0.59,34.7
pomorskie,pucki,2023,2211000,34,160,212,487,177.0,91.0,219.0,0.3789,6686,0.3711,0.56,39.5
pomorskie,starogardzki,2023,2213000,69,239,418,658,327.0,77.0,254.0,0.409,7046,0.428,0.69,28.8
