LP.,wojewodztwo,powiat,gmina,typ gminy,"typ
jednostki",KESO,razem,MRiPS,MSWIA,MZ,MEiN,MKDNiS,razem_kontynuowane,MRiPS_kontynuowane,MSWIA_kontynuowane,MZ_kontynuowane,MEiN_kontynuowane,MKDNiS],razem_wypelnione,MRiPS_wypelnione,MSWIA_wypelnione,MZ_wypelnione,MEiN_wypelnione,MKDNiS_wypelnione,razem_rodzin_ogolem,MRiPS_rodzin_ogolem,MSWIA_rodzin_ogolem,MZ_rodzin_ogolem,MEiN_rodzin_ogolem,MKDNiS_rodzin_ogolem,razem_rodzin_psychiczna,MRiPS_rodzin_psychiczna,MSWIA_rodzin_psychiczna,MZ_rodzin_psychiczna,MEiN_rodzin_psychiczna,MKDNiS_rodzin_psychiczna,razem_rodzin_fizyczna,MRiPS_rodzin_fizyczna,MSWIA_rodzin_fizyczna,MZ_rodzin_fizyczna,MEiN_rodzin_fizyczna,MKDNiS_rodzin_fizyczna,razem_rodzin_seksualna,MRiPS_rodzin_seksualna,MSWIA_rodzin_seksualna,MZ_rodzin_seksualna,MEiN_rodzin_seksualna,MKDNiS_rodzin_seksualna,razem_osob,MRiPS_osob,MSWIA_osob,MZ_osob,MEiN_osob,MKDNiS_osob,razem_ogolem,MRiPS_ogolem,MSWIA_ogolem,MZ_ogolem,MEiN_ogolem,MKDNiS_ogolem,razem_kobiety_ogolem,MRiPS_kobiety_ogolem,MSWIA_kobiety_ogolem,MZ_kobiety_ogolem,MEiN_kobiety_ogolem,MKDNiS_kobiety_ogolem,razem_kobiety_niepelnosprawne,MRiPS_kobiety_niepelnosprawne,MSWIA_kobiety_niepelnosprawne,MZ_kobiety_niepelnosprawne,MEiN_kobiety_niepelnosprawne,MKDNiS_kobiety_niepelnosprawne,razem_kobiety_starsze,MRiPS_kobiety_starsze,MSWIA_kobiety_starsze,MZ_kobiety_starsze,MEiN_kobiety_starsze,MKDNiS_kobiety_starsze,razem_mezczyzni_ogolem,MRiPS_mezczyzni_ogolem,MSWIA_mezczyzni_ogolem,MZ_mezczyzni_ogolem,MEiN_mezczyzni_ogolem,MKDNiS_mezczyzni_ogolem,razem_mezczyzni_niepelnosprawni,MRiPS_mezczyzni_niepelnosprawni,MSWIA_mezczyzni_niepelnosprawni,MZ_mezczyzni_niepelnosprawni,MEiN_mezczyzni_niepelnosprawni,MKDNiS_mezczyzni_niepelnosprawni,razem_mezczyzni_starsi,MRiPS_mezczyzni_starsi,MSWIA_mezczyzni_starsi,MZ_mezczyzni_starsi,MEiN_mezczyzni_starsi,MKDNiS_mezczyzni_starsi,razem_dzieci_ogolem,MRiPS_dzieci_ogolem,MSWIA_dzieci_ogolem,MZ_dzieci_ogolem,MEiN_dzieci_ogolem,MKDNiS_dzieci_ogolem,razem_dzieci_dziewczynki,MRiPS_dzieci_dziewczynki,MSWIA_dzieci_dziewczynki,MZ_dzieci_dziewczynki,MEiN_dzieci_dziewczynki,MKDNiS_dzieci_dziewczynki,razem_dzieci_chlopcy,MRiPS_dzieci_chlopcy,MSWIA_dzieci_chlopcy,MZ_dzieci_chlopcy,MEiN_dzieci_chlopcy,MKDNiS_dzieci_chlopcy,razem_dzieci_niepelnosprawne,MRiPS_dzieci_niepelnosprawne,MSWIA_dzieci_niepelnosprawne,MZ_dzieci_niepelnosprawne,MEiN_dzieci_niepelnosprawne,MKDNiS_dzieci_niepelnosprawne,razem_formularze_C,MRiPS_formularze_C,MSWIA_formularze_C,MZ_formularze_C,MEiN_formularze_C,MKDNiS_formularze_C
11,dolnośląskie,dzierżoniowski,Bielawa,miejska,OPS,300202011000,82,82,X,X,X,X,52,52,X,X,X,X,15,15,X,X,X,X,117,117,X,X,X,X,111,111,X,X,X,X,96,96,X,X,X,X,2,2,X,X,X,X,367,367,X,X,X,X,146,146,X,X,X,X,85,85,X,X,X,X,12,12,X,X,X,X,17,17,X,X,X,X,15,15,X,X,X,X,12,12,X,X,X,X,6,6,X,X,X,X,46,46,X,X,X,X,16,16,X,X,X,X,30,30,X,X,X,X,5,5,X,X,X,X,31,31,X,X,X,X
12,dolnośląskie,dzierżoniowski,Dzierżoniów,miejska,OPS,300202021000,142,142,X,X,X,X,51,51,X,X,X,X,51,51,X,X,X,X,91,91,X,X,X,X,89,89,X,X,X,X,72,72,X,X,X,X,1,1,X,X,X,X,294,294,X,X,X,X,179,179,X,X,X,X,83,83,X,X,X,X,12,12,X,X,X,X,17,17,X,X,X,X,10,10,X,X,X,X,8,8,X,X,X,X,2,2,X,X,X,X,86,86,X,X,X,X,52,52,X,X,X,X,34,34,X,X,X,X,0,0,X,X,X,X,39,39,X,X,X,X
13,dolnośląskie,dzierżoniowski,Dzierżoniów,wiejska,OPS,300202052000,30,30,X,X,X,X,6,6,X,X,X,X,2,2,X,X,X,X,36,36,X,X,X,X,9,9,X,X,X,X,27,27,X,X,X,X,0,0,X,X,X,X,39,39,X,X,X,X,39,39,X,X,X,X,24,24,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,26,26,X,X,X,X
14,dolnośląskie,dzierżoniowski,Łagiewniki,wiejska,OPS,300202062000,14,14,X,X,X,X,8,8,X,X,X,X,2,2,X,X,X,X,22,22,X,X,X,X,22,22,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,70,70,X,X,X,X,42,42,X,X,X,X,19,19,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,18,18,X,X,X,X,11,11,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
15,dolnośląskie,dzierżoniowski,Niemcza,miejsko-wiejska,OPS,300202073000,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
16,dolnośląskie,dzierżoniowski,Pieszyce,miejsko-wiejska,OPS,300202031000,15,15,X,X,X,X,7,7,X,X,X,X,2,2,X,X,X,X,22,22,X,X,X,X,21,21,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,42,42,X,X,X,X,42,42,X,X,X,X,21,21,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,19,19,X,X,X,X,13,13,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,15,15,X,X,X,X
17,dolnośląskie,dzierżoniowski,Piława Górna,miejska,OPS,300202041000,14,14,X,X,X,X,19,19,X,X,X,X,3,3,X,X,X,X,14,14,X,X,X,X,14,14,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,28,28,X,X,X,X,14,14,X,X,X,X,13,13,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
18,dolnośląskie,głogowski,Głogów,miejska,OPS,300203011000,379,379,X,X,X,X,166,166,X,X,X,X,92,92,X,X,X,X,346,346,X,X,X,X,252,252,X,X,X,X,81,81,X,X,X,X,1,1,X,X,X,X,1019,1019,X,X,X,X,369,369,X,X,X,X,288,288,X,X,X,X,41,41,X,X,X,X,70,70,X,X,X,X,46,46,X,X,X,X,10,10,X,X,X,X,17,17,X,X,X,X,35,35,X,X,X,X,22,22,X,X,X,X,13,13,X,X,X,X,3,3,X,X,X,X,238,238,X,X,X,X
19,dolnośląskie,głogowski,Głogów,wiejska,OPS,300203022000,57,57,X,X,X,X,7,7,X,X,X,X,10,10,X,X,X,X,56,56,X,X,X,X,39,39,X,X,X,X,22,22,X,X,X,X,2,2,X,X,X,X,191,191,X,X,X,X,56,56,X,X,X,X,39,39,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,8,8,X,X,X,X,7,7,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,14,14,X,X,X,X
20,dolnośląskie,głogowski,Jerzmanowa,wiejska,OPS,300203032000,23,23,X,X,X,X,3,3,X,X,X,X,12,12,X,X,X,X,24,24,X,X,X,X,24,24,X,X,X,X,13,13,X,X,X,X,1,1,X,X,X,X,81,81,X,X,X,X,43,43,X,X,X,X,17,17,X,X,X,X,2,2,X,X,X,X,6,6,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,19,19,X,X,X,X,9,9,X,X,X,X,10,10,X,X,X,X,2,2,X,X,X,X,19,19,X,X,X,X
21,dolnośląskie,głogowski,Kotla,wiejska,OPS,300203042000,31,31,X,X,X,X,8,8,X,X,X,X,10,10,X,X,X,X,39,39,X,X,X,X,38,38,X,X,X,X,26,26,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,128,128,X,X,X,X,41,41,X,X,X,X,5,5,X,X,X,X,4,4,X,X,X,X,49,49,X,X,X,X,11,11,X,X,X,X,4,4,X,X,X,X,38,38,X,X,X,X,22,22,X,X,X,X,16,16,X,X,X,X,1,1,X,X,X,X,21,21,X,X,X,X
