LP.,wojewodztwo,powiat,gmina,typ gminy,"typ
jednostki",KESO,razem,MRiPS,MSWIA,MZ,MEiN,MKDNiS
598,lubuskie,żagański,Gozdnica,miejska,OPS,300810011000,12,12,X,X,X,X
599,lubuskie,żagański,Iłowa,miejsko-wiejska,OPS,300810043000,18,18,X,X,X,X
600,lubuskie,żagański,Małomice,miejsko-wiejska,OPS,300810053000,3,3,X,X,X,X
601,lubuskie,żagański,Niegosławice,wiejska,OPS,300810062000,12,12,X,X,X,X
602,lubuskie,żagański,Szprotawa,miejsko-wiejska,OPS,300810073000,31,31,X,X,X,X
603,lubuskie,żagański,Wymiarki,wiejska,OPS,300810082000,1,1,X,X,X,X
604,lubuskie,żagański,Żagań,miejska,OPS,300810021000,33,33,X,X,X,X
605,lubuskie,żagański,Żagań,wiejska,OPS,300810092000,4,4,X,X,X,X
606,lubuskie,żarski,Brody,wiejska,OPS,300811032000,1,1,X,X,X,X
607,lubuskie,żarski,Jasień,miejsko-wiejska,OPS,300811043000,8,8,X,X,X,X
608,lubuskie,żarski,Lipinki Łużyckie,wiejska,OPS,300811052000,2,2,X,X,X,X
609,lubuskie,żarski,Lubsko,miejsko-wiejska,OPS,300811063000,36,36,X,X,X,X
610,lubuskie,żarski,Łęknica,miejska,OPS,300811011000,2,2,X,X,X,X
611,lubuskie,żarski,Przewóz,wiejska,OPS,300811072000,1,1,X,X,X,X
612,lubuskie,żarski,Trzebiel,wiejska,OPS,300811082000,4,4,X,X,X,X
613,lubuskie,żarski,Tuplice,wiejska,OPS,300811092000,5,5,X,X,X,X
614,lubuskie,żarski,Żary,miejska,OPS,300811021000,98,98,X,X,X,X
615,lubuskie,żarski,Żary,wiejska,OPS,300811102000,30,30,X,X,X,X
616,łódzkie,-,-,-,WPS,101000000000,3670,3670,X,X,X,X
617,łódzkie,bełchatowski,Bełchatów,miejska,OPS,301001011000,101,101,X,X,X,X
618,łódzkie,bełchatowski,Bełchatów,wiejska,OPS,301001022000,28,28,X,X,X,X
619,łódzkie,bełchatowski,Drużbice,wiejska,OPS,301001032000,13,13,X,X,X,X
620,łódzkie,bełchatowski,Kleszczów,wiejska,OPS,301001042000,8,8,X,X,X,X
621,łódzkie,bełchatowski,Kluki,wiejska,OPS,301001052000,6,6,X,X,X,X
622,łódzkie,bełchatowski,Rusiec,wiejska,OPS,301001062000,5,5,X,X,X,X
623,łódzkie,bełchatowski,Szczerców,wiejska,OPS,301001072000,9,9,X,X,X,X
624,łódzkie,bełchatowski,Zelów,miejsko-wiejska,OPS,301001083000,41,41,X,X,X,X
625,łódzkie,brzeziński,Brzeziny,miejska,OPS,301021011000,14,14,X,X,X,X
626,łódzkie,brzeziński,Brzeziny,wiejska,OPS,301021022000,1,1,X,X,X,X
627,łódzkie,brzeziński,Dmosin,wiejska,OPS,301021032000,6,6,X,X,X,X
628,łódzkie,brzeziński,Jeżów,wiejska,OPS,301021042000,5,5,X,X,X,X
629,łódzkie,brzeziński,Rogów,wiejska,OPS,301021052000,6,6,X,X,X,X
630,łódzkie,kutnowski,Bedlno,wiejska,OPS,301002022000,4,4,X,X,X,X
631,łódzkie,kutnowski,Dąbrowice,wiejska,OPS,301002032000,0,0,X,X,X,X
632,łódzkie,kutnowski,Krośniewice,miejsko-wiejska,OPS,301002043000,9,9,X,X,X,X
633,łódzkie,kutnowski,Krzyżanów,wiejska,OPS,301002052000,23,23,X,X,X,X
634,łódzkie,kutnowski,Kutno,miejska,OPS,301002011000,98,98,X,X,X,X
635,łódzkie,kutnowski,Kutno,wiejska,OPS,301002062000,19,19,X,X,X,X
636,łódzkie,kutnowski,Łanięta,wiejska,OPS,301002072000,4,4,X,X,X,X
637,łódzkie,kutnowski,Nowe Ostrowy,wiejska,OPS,301002082000,9,9,X,X,X,X
638,łódzkie,kutnowski,Oporów,wiejska,OPS,301002092000,0,0,X,X,X,X
639,łódzkie,kutnowski,Strzelce,wiejska,OPS,301002102000,0,0,X,X,X,X
640,łódzkie,kutnowski,Żychlin,miejsko-wiejska,OPS,301002113000,22,22,X,X,X,X
641,łódzkie,łaski,Buczek,wiejska,OPS,301003012000,2,2,X,X,X,X
642,łódzkie,łaski,Łask,miejsko-wiejska,OPS,301003023000,36,36,X,X,X,X
643,łódzkie,łaski,Sędziejowice,wiejska,OPS,301003032000,13,13,X,X,X,X
644,łódzkie,łaski,Widawa,wiejska,OPS,301003042000,18,18,X,X,X,X
645,łódzkie,łaski,Wodzierady,wiejska,OPS,301003052000,1,1,X,X,X,X
646,łódzkie,łęczycki,Daszyna,wiejska,OPS,301004022000,4,4,X,X,X,X
647,łódzkie,łęczycki,Góra Świętej Małgorzaty,wiejska,OPS,301004032000,4,4,X,X,X,X
648,łódzkie,łęczycki,Grabów,wiejska,OPS,301004042000,1,1,X,X,X,X
649,łódzkie,łęczycki,Łęczyca,miejska,OPS,301004011000,39,39,X,X,X,X
650,łódzkie,łęczycki,Łęczyca,wiejska,OPS,301004052000,6,6,X,X,X,X
651,łódzkie,łęczycki,Piątek,wiejska,OPS,301004062000,17,17,X,X,X,X
652,łódzkie,łęczycki,Świnice Warckie,wiejska,OPS,301004072000,3,3,X,X,X,X
653,łódzkie,łęczycki,Witonia,wiejska,OPS,301004082000,4,4,X,X,X,X
654,łódzkie,łowicki,Bielawy,wiejska,OPS,301005022000,9,9,X,X,X,X
655,łódzkie,łowicki,Chąśno,wiejska,OPS,301005032000,0,0,X,X,X,X
656,łódzkie,łowicki,Domaniewice,wiejska,OPS,301005042000,12,12,X,X,X,X
657,łódzkie,łowicki,Kiernozia,wiejska,OPS,301005052000,6,6,X,X,X,X
658,łódzkie,łowicki,Kocierzew Południowy,wiejska,OPS,301005062000,8,8,X,X,X,X
659,łódzkie,łowicki,Łowicz,miejska,OPS,301005011000,59,59,X,X,X,X
660,łódzkie,łowicki,Łowicz,wiejska,OPS,301005072000,13,13,X,X,X,X
661,łódzkie,łowicki,Łyszkowice,wiejska,OPS,301005082000,14,14,X,X,X,X
662,łódzkie,łowicki,Nieborów,wiejska,OPS,301005092000,15,15,X,X,X,X
663,łódzkie,łowicki,Zduny,wiejska,OPS,301005102000,2,2,X,X,X,X
664,łódzkie,łódzki wschodni,Andrespol,wiejska,OPS,301006022000,10,10,X,X,X,X
665,łódzkie,łódzki wschodni,Brójce,wiejska,OPS,301006032000,2,2,X,X,X,X
666,łódzkie,łódzki wschodni,Koluszki,miejsko-wiejska,OPS,301006073000,10,10,X,X,X,X
667,łódzkie,łódzki wschodni,Nowosolna,wiejska,OPS,301006082000,2,2,X,X,X,X
668,łódzkie,łódzki wschodni,Rzgów,miejsko-wiejska,OPS,301006102000,10,10,X,X,X,X
669,łódzkie,łódzki wschodni,Tuszyn,miejsko-wiejska,OPS,301006113000,8,8,X,X,X,X
670,łódzkie,m. Łódź,M. Łódź,miejska,MOPR,251061011000,1199,1199,X,X,X,X
671,łódzkie,opoczyński,Białaczów,wiejska,OPS,301007012000,4,4,X,X,X,X
672,łódzkie,opoczyński,Drzewica,miejsko-wiejska,OPS,301007023000,17,17,X,X,X,X
673,łódzkie,opoczyński,Mniszków,wiejska,OPS,301007032000,10,10,X,X,X,X
674,łódzkie,opoczyński,Opoczno,miejsko-wiejska,OPS,301007043000,57,57,X,X,X,X
675,łódzkie,opoczyński,Paradyż,wiejska,OPS,301007052000,4,4,X,X,X,X
676,łódzkie,opoczyński,Poświętne,wiejska,OPS,301007062000,4,4,X,X,X,X
677,łódzkie,opoczyński,Sławno,wiejska,OPS,301007072000,9,9,X,X,X,X
678,łódzkie,opoczyński,Żarnów,wiejska,OPS,301007082000,8,8,X,X,X,X
679,łódzkie,pabianicki,Dłutów,wiejska,OPS,301008032000,2,2,X,X,X,X
680,łódzkie,pabianicki,Dobroń,wiejska,OPS,301008042000,10,10,X,X,X,X
681,łódzkie,pabianicki,Konstantynów Łódzki,miejska,OPS,301008011000,11,11,X,X,X,X
682,łódzkie,pabianicki,Ksawerów,wiejska,OPS,301008052000,13,13,X,X,X,X
683,łódzkie,pabianicki,Lutomiersk,wiejska,OPS,301008062000,16,16,X,X,X,X
684,łódzkie,pabianicki,Pabianice,miejska,OPS,301008021000,78,78,X,X,X,X
685,łódzkie,pabianicki,Pabianice,wiejska,OPS,301008072000,1,1,X,X,X,X
686,łódzkie,pajęczański,Działoszyn,miejsko-wiejska,OPS,301009013000,20,20,X,X,X,X
687,łódzkie,pajęczański,Kiełczygłów,wiejska,OPS,301009022000,2,2,X,X,X,X
688,łódzkie,pajęczański,Nowa Brzeźnica,wiejska,OPS,301009032000,7,7,X,X,X,X
689,łódzkie,pajęczański,Pajęczno,miejsko-wiejska,OPS,301009043000,11,11,X,X,X,X
690,łódzkie,pajęczański,Rząśnia,wiejska,OPS,301009052000,9,9,X,X,X,X
691,łódzkie,pajęczański,Siemkowice,wiejska,OPS,301009062000,11,11,X,X,X,X
692,łódzkie,pajęczański,Strzelce Wielkie,wiejska,OPS,301009072000,8,8,X,X,X,X
693,łódzkie,pajęczański,Sulmierzyce,wiejska,OPS,301009082000,2,2,X,X,X,X
694,łódzkie,piotrkowski,Aleksandrów,wiejska,OPS,301010012000,0,0,X,X,X,X
695,łódzkie,piotrkowski,Czarnocin,wiejska,OPS,301010022000,8,8,X,X,X,X
696,łódzkie,piotrkowski,Gorzkowice,wiejska,OPS,301010032000,6,6,X,X,X,X
697,łódzkie,piotrkowski,Grabica,wiejska,OPS,301010042000,0,0,X,X,X,X
698,łódzkie,piotrkowski,Łęki Szlacheckie,wiejska,OPS,301010052000,4,4,X,X,X,X
699,łódzkie,piotrkowski,Moszczenica,wiejska,OPS,301010062000,18,18,X,X,X,X
700,łódzkie,piotrkowski,Ręczno,wiejska,OPS,301010072000,5,5,X,X,X,X
701,łódzkie,piotrkowski,Rozprza,wiejska,OPS,301010082000,15,15,X,X,X,X
702,łódzkie,piotrkowski,Sulejów,miejsko-wiejska,OPS,301010093000,22,22,X,X,X,X
703,łódzkie,piotrkowski,Wola Krzysztoporska,wiejska,OPS,301010102000,14,14,X,X,X,X
704,łódzkie,piotrkowski,Wolbórz,miejsko-wiejska,OPS,301010113000,29,29,X,X,X,X
705,łódzkie,m. Piotrków Trybunalski,M. Piotrków Trybunalski,miejska,MOPR,251062011000,183,183,X,X,X,X
706,łódzkie,poddębicki,Dalików,wiejska,OPS,301011012000,9,9,X,X,X,X
707,łódzkie,poddębicki,Pęczniew,wiejska,OPS,301011022000,7,7,X,X,X,X
708,łódzkie,poddębicki,Poddębice,miejsko-wiejska,OPS,301011033000,17,17,X,X,X,X
709,łódzkie,poddębicki,Uniejów,miejsko-wiejska,OPS,301011043000,18,18,X,X,X,X
710,łódzkie,poddębicki,Wartkowice,wiejska,OPS,301011052000,9,9,X,X,X,X
711,łódzkie,poddębicki,Zadzim,wiejska,OPS,301011062000,5,5,X,X,X,X
712,łódzkie,radomszczański,Dobryszyce,wiejska,OPS,301012022000,8,8,X,X,X,X
713,łódzkie,radomszczański,Gidle,wiejska,OPS,301012032000,15,15,X,X,X,X
714,łódzkie,radomszczański,Gomunice,wiejska,OPS,301012042000,12,12,X,X,X,X
715,łódzkie,radomszczański,Kamieńsk,miejsko-wiejska,OPS,301012053000,10,10,X,X,X,X
716,łódzkie,radomszczański,Kobiele Wielkie,wiejska,OPS,301012062000,3,3,X,X,X,X
717,łódzkie,radomszczański,Kodrąb,wiejska,OPS,301012072000,8,8,X,X,X,X
718,łódzkie,radomszczański,Lgota Wielka,wiejska,OPS,301012082000,6,6,X,X,X,X
719,łódzkie,radomszczański,Ładzice,wiejska,OPS,301012092000,10,10,X,X,X,X
720,łódzkie,radomszczański,Masłowice,wiejska,OPS,301012102000,0,0,X,X,X,X
721,łódzkie,radomszczański,Przedbórz,miejsko-wiejska,OPS,301012113000,9,9,X,X,X,X
722,łódzkie,radomszczański,Radomsko,miejska,OPS,301012011000,55,55,X,X,X,X
723,łódzkie,radomszczański,Radomsko,wiejska,OPS,301012122000,10,10,X,X,X,X
724,łódzkie,radomszczański,Wielgomłyny,wiejska,OPS,301012132000,4,4,X,X,X,X
725,łódzkie,radomszczański,Żytno,wiejska,OPS,301012142000,3,3,X,X,X,X
726,łódzkie,rawski,Biała Rawska,miejsko-wiejska,OPS,301013023000,14,14,X,X,X,X
727,łódzkie,rawski,Cielądz,wiejska,OPS,301013032000,3,3,X,X,X,X
728,łódzkie,rawski,Rawa Mazowiecka,miejska,OPS,301013011000,14,14,X,X,X,X
729,łódzkie,rawski,Rawa Mazowiecka,wiejska,OPS,301013042000,17,17,X,X,X,X
730,łódzkie,rawski,Regnów,wiejska,OPS,301013052000,4,4,X,X,X,X
731,łódzkie,rawski,Sadkowice,wiejska,OPS,301013062000,4,4,X,X,X,X
732,łódzkie,sieradzki,Błaszki,miejsko-wiejska,OPS,301014023000,13,13,X,X,X,X
733,łódzkie,sieradzki,Brąszewice,wiejska,OPS,301014032000,7,7,X,X,X,X
734,łódzkie,sieradzki,Brzeźnio,wiejska,OPS,301014042000,6,6,X,X,X,X
735,łódzkie,sieradzki,Burzenin,wiejska,OPS,301014052000,2,2,X,X,X,X
736,łódzkie,sieradzki,Goszczanów,wiejska,OPS,301014062000,23,23,X,X,X,X
737,łódzkie,sieradzki,Klonowa,wiejska,OPS,301014072000,6,6,X,X,X,X
738,łódzkie,sieradzki,Sieradz,miejska,OPS,301014011000,58,58,X,X,X,X
739,łódzkie,sieradzki,Sieradz,wiejska,OPS,301014082000,15,15,X,X,X,X
740,łódzkie,sieradzki,Warta,miejsko-wiejska,OPS,301014093000,30,30,X,X,X,X
741,łódzkie,sieradzki,Wróblew,wiejska,OPS,301014102000,7,7,X,X,X,X
742,łódzkie,sieradzki,Złoczew,miejsko-wiejska,OPS,301014113000,16,16,X,X,X,X
743,łódzkie,m. Skierniewice,M. Skierniewice,miejska,MOPR,251063011000,63,63,X,X,X,X
744,łódzkie,skierniewicki,Bolimów,wiejska,OPS,301015012000,3,3,X,X,X,X
745,łódzkie,skierniewicki,Głuchów,wiejska,OPS,301015022000,10,10,X,X,X,X
746,łódzkie,skierniewicki,Godzianów,wiejska,OPS,301015032000,7,7,X,X,X,X
747,łódzkie,skierniewicki,Kowiesy,wiejska,OPS,301015042000,0,0,X,X,X,X
748,łódzkie,skierniewicki,Lipce Reymontowskie,wiejska,OPS,301015052000,7,7,X,X,X,X
749,łódzkie,skierniewicki,Maków,wiejska,OPS,301015062000,12,12,X,X,X,X
750,łódzkie,skierniewicki,Nowy Kawęczyn,wiejska,OPS,301015072000,0,0,X,X,X,X
751,łódzkie,skierniewicki,Skierniewice,wiejska,OPS,301015082000,27,27,X,X,X,X
752,łódzkie,skierniewicki,Słupia,wiejska,OPS,301015092000,0,0,X,X,X,X
753,łódzkie,tomaszowski,Będków,wiejska,OPS,301016022000,0,0,X,X,X,X
754,łódzkie,tomaszowski,Budziszewice,wiejska,OPS,301016032000,3,3,X,X,X,X
755,łódzkie,tomaszowski,Czerniewice,wiejska,OPS,301016042000,0,0,X,X,X,X
756,łódzkie,tomaszowski,Inowłódz,wiejska,OPS,301016052000,4,4,X,X,X,X
757,łódzkie,tomaszowski,Lubochnia,wiejska,OPS,301016062000,11,11,X,X,X,X
758,łódzkie,tomaszowski,Rokiciny,wiejska,OPS,301016072000,0,0,X,X,X,X
759,łódzkie,tomaszowski,Rzeczyca,wiejska,OPS,301016082000,5,5,X,X,X,X
760,łódzkie,tomaszowski,Tomaszów Mazowiecki,miejska,OPS,301016011000,56,56,X,X,X,X
761,łódzkie,tomaszowski,Tomaszów Mazowiecki,wiejska,OPS,301016092000,20,20,X,X,X,X
762,łódzkie,tomaszowski,Ujazd,wiejska,OPS,301016102000,28,28,X,X,X,X
763,łódzkie,tomaszowski,Żelechlinek,wiejska,OPS,301016112000,7,7,X,X,X,X
764,łódzkie,wieluński,Biała,wiejska,OPS,301017012000,4,4,X,X,X,X
765,łódzkie,wieluński,Czarnożyły,wiejska,OPS,301017022000,7,7,X,X,X,X
766,łódzkie,wieluński,Konopnica,wiejska,OPS,301017032000,2,2,X,X,X,X
767,łódzkie,wieluński,Mokrsko,wiejska,OPS,301017042000,2,2,X,X,X,X
768,łódzkie,wieluński,Osjaków,wiejska,OPS,301017052000,0,0,X,X,X,X
769,łódzkie,wieluński,Ostrówek,wiejska,OPS,301017062000,0,0,X,X,X,X
770,łódzkie,wieluński,Pątnów,wiejska,OPS,301017072000,13,13,X,X,X,X
771,łódzkie,wieluński,Skomlin,wiejska,OPS,301017082000,5,5,X,X,X,X
772,łódzkie,wieluński,Wieluń,miejsko-wiejska,OPS,301017093000,56,56,X,X,X,X
773,łódzkie,wieluński,Wierzchlas,wiejska,OPS,301017102000,7,7,X,X,X,X
774,łódzkie,wieruszowski,Bolesławiec,wiejska,OPS,301018012000,1,1,X,X,X,X
775,łódzkie,wieruszowski,Czastary,wiejska,OPS,301018022000,5,5,X,X,X,X
776,łódzkie,wieruszowski,Galewice,wiejska,OPS,301018032000,8,8,X,X,X,X
777,łódzkie,wieruszowski,Lututów,wiejska,OPS,301018042000,2,2,X,X,X,X
778,łódzkie,wieruszowski,Łubnice,wiejska,OPS,301018052000,2,2,X,X,X,X
779,łódzkie,wieruszowski,Sokolniki,wiejska,OPS,301018062000,2,2,X,X,X,X
780,łódzkie,wieruszowski,Wieruszów,miejsko-wiejska,OPS,301018073000,15,15,X,X,X,X
781,łódzkie,zduńskowolski,Szadek,miejsko-wiejska,OPS,301019023000,4,4,X,X,X,X
782,łódzkie,zduńskowolski,Zapolice,wiejska,OPS,301019032000,4,4,X,X,X,X
783,łódzkie,zduńskowolski,Zduńska Wola,miejska,OPS,301019011000,69,69,X,X,X,X
784,łódzkie,zduńskowolski,Zduńska Wola,wiejska,OPS,301019042000,1,1,X,X,X,X
785,łódzkie,zgierski,Aleksandrów Łódzki,miejsko-wiejska,OPS,301020043000,13,13,X,X,X,X
786,łódzkie,zgierski,Głowno,miejska,OPS,301020011000,11,11,X,X,X,X
787,łódzkie,zgierski,Głowno,wiejska,OPS,301020052000,12,12,X,X,X,X
788,łódzkie,zgierski,Ozorków,miejska,OPS,301020021000,18,18,X,X,X,X
789,łódzkie,zgierski,Ozorków,wiejska,OPS,301020062000,15,15,X,X,X,X
790,łódzkie,zgierski,Parzęczew,wiejska,OPS,301020072000,10,10,X,X,X,X
791,łódzkie,zgierski,Stryków,miejsko-wiejska,OPS,301020083000,21,21,X,X,X,X
792,łódzkie,zgierski,Zgierz,miejska,OPS,301020031000,41,41,X,X,X,X
793,łódzkie,zgierski,Zgierz,wiejska,OPS,301020092000,24,24,X,X,X,X
794,małopolskie,-,-,-,WPS,101200000000,3777,3777,X,X,X,X
795,małopolskie,tarnowski,Wierzchosławice,wiejska,OPS,301216112000,8,8,X,X,X,X
796,małopolskie,bocheński,Bochnia,miejska,OPS,301201011000,49,49,X,X,X,X
797,małopolskie,bocheński,Bochnia,wiejska,OPS,301201022000,14,14,X,X,X,X
798,małopolskie,bocheński,Drwinia,wiejska,OPS,301201032000,2,2,X,X,X,X
799,małopolskie,bocheński,Lipnica Murowana,wiejska,OPS,301201042000,11,11,X,X,X,X
800,małopolskie,bocheński,Łapanów,wiejska,OPS,301201052000,15,15,X,X,X,X
801,małopolskie,bocheński,Nowy Wiśnicz,miejsko-wiejska,OPS,301201063000,17,17,X,X,X,X
802,małopolskie,bocheński,Rzezawa,wiejska,OPS,301201072000,14,14,X,X,X,X
803,małopolskie,bocheński,Trzciana,wiejska,OPS,301201082000,4,4,X,X,X,X
804,małopolskie,bocheński,Żegocina,wiejska,OPS,301201092000,2,2,X,X,X,X
805,małopolskie,brzeski,Borzęcin,wiejska,OPS,301202012000,19,19,X,X,X,X
806,małopolskie,brzeski,Brzesko,miejsko-wiejska,OPS,301202023000,60,60,X,X,X,X
807,małopolskie,brzeski,Czchów,miejsko-wiejska,OPS,301202033000,9,9,X,X,X,X
808,małopolskie,brzeski,Dębno,wiejska,OPS,301202042000,31,31,X,X,X,X
809,małopolskie,brzeski,Gnojnik,wiejska,OPS,301202052000,15,15,X,X,X,X
810,małopolskie,brzeski,Iwkowa,wiejska,OPS,301202062000,14,14,X,X,X,X
811,małopolskie,brzeski,Szczurowa,wiejska,OPS,301202072000,7,7,X,X,X,X
812,małopolskie,chrzanowski,Alwernia,miejsko-wiejska,OPS,301203013000,15,15,X,X,X,X
813,małopolskie,chrzanowski,Babice,wiejska,OPS,301203022000,6,6,X,X,X,X
814,małopolskie,chrzanowski,Chrzanów,miejsko-wiejska,OPS,301203033000,66,66,X,X,X,X
815,małopolskie,chrzanowski,Libiąż,miejsko-wiejska,OPS,301203043000,50,50,X,X,X,X
816,małopolskie,chrzanowski,Trzebinia,miejsko-wiejska,OPS,301203053000,33,33,X,X,X,X
817,małopolskie,dąbrowski,Bolesław,wiejska,OPS,301204012000,8,8,X,X,X,X
818,małopolskie,dąbrowski,Dąbrowa Tarnowska,miejsko-wiejska,OPS,301204023000,17,17,X,X,X,X
819,małopolskie,dąbrowski,Gręboszów,wiejska,OPS,301204032000,3,3,X,X,X,X
820,małopolskie,dąbrowski,Mędrzechów,wiejska,OPS,301204042000,2,2,X,X,X,X
821,małopolskie,dąbrowski,Olesno,wiejska,OPS,301204052000,9,9,X,X,X,X
822,małopolskie,dąbrowski,Radgoszcz,wiejska,OPS,301204062000,10,10,X,X,X,X
823,małopolskie,dąbrowski,Szczucin,miejsko-wiejska,OPS,301204073000,23,23,X,X,X,X
824,małopolskie,gorlicki,Biecz,miejsko-wiejska,OPS,301205023000,21,21,X,X,X,X
825,małopolskie,gorlicki,Bobowa,miejsko-wiejska,OPS,301205033000,18,18,X,X,X,X
826,małopolskie,gorlicki,Gorlice,miejska,OPS,301205011000,11,11,X,X,X,X
827,małopolskie,gorlicki,Gorlice,wiejska,OPS,301205042000,19,19,X,X,X,X
828,małopolskie,gorlicki,Lipinki,wiejska,OPS,301205052000,4,4,X,X,X,X
829,małopolskie,gorlicki,Łużna,wiejska,OPS,301205062000,14,14,X,X,X,X
830,małopolskie,gorlicki,Moszczenica,wiejska,OPS,301205072000,3,3,X,X,X,X
831,małopolskie,gorlicki,Ropa,wiejska,OPS,301205082000,4,4,X,X,X,X
832,małopolskie,gorlicki,Sękowa,wiejska,OPS,301205092000,8,8,X,X,X,X
833,małopolskie,gorlicki,Uście Gorlickie,wiejska,OPS,301205102000,15,15,X,X,X,X
834,małopolskie,krakowski,Czernichów,wiejska,OPS,301206012000,49,49,X,X,X,X
835,małopolskie,krakowski,Igołomia-Wawrzeńczyce,wiejska,OPS,301206022000,13,13,X,X,X,X
836,małopolskie,krakowski,Iwanowice,wiejska,OPS,301206032000,16,16,X,X,X,X
837,małopolskie,krakowski,Jerzmanowice-Przeginia,wiejska,OPS,301206042000,33,33,X,X,X,X
838,małopolskie,krakowski,Kocmyrzów-Luborzyca,wiejska,OPS,301206052000,17,17,X,X,X,X
839,małopolskie,krakowski,Krzeszowice,miejsko-wiejska,OPS,301206063000,26,26,X,X,X,X
840,małopolskie,krakowski,Liszki,wiejska,OPS,301206072000,51,51,X,X,X,X
841,małopolskie,krakowski,Michałowice,wiejska,OPS,301206082000,21,21,X,X,X,X
842,małopolskie,krakowski,Mogilany,wiejska,OPS,301206092000,15,15,X,X,X,X
843,małopolskie,krakowski,Skała,miejsko-wiejska,OPS,301206103000,38,38,X,X,X,X
844,małopolskie,krakowski,Skawina,miejsko-wiejska,OPS,301206113000,57,57,X,X,X,X
845,małopolskie,krakowski,Słomniki,miejsko-wiejska,OPS,301206123000,9,9,X,X,X,X
846,małopolskie,krakowski,Sułoszowa,wiejska,OPS,301206132000,7,7,X,X,X,X
847,małopolskie,krakowski,Świątniki Górne,miejsko-wiejska,OPS,301206143000,13,13,X,X,X,X
848,małopolskie,krakowski,Wielka Wieś,wiejska,OPS,301206152000,19,19,X,X,X,X
849,małopolskie,krakowski,Zabierzów,wiejska,OPS,301206162000,35,35,X,X,X,X
850,małopolskie,krakowski,Zielonki,wiejska,OPS,301206172000,26,26,X,X,X,X
851,małopolskie,m. Kraków,M. Kraków,miejska,MOPR,251261011000,317,317,X,X,X,X
852,małopolskie,limanowski,Dobra,wiejska,OPS,301207032000,7,7,X,X,X,X
853,małopolskie,limanowski,Jodłownik,wiejska,OPS,301207042000,15,15,X,X,X,X
854,małopolskie,limanowski,Kamienica,wiejska,OPS,301207052000,0,0,X,X,X,X
855,małopolskie,limanowski,Laskowa,wiejska,OPS,301207062000,6,6,X,X,X,X
856,małopolskie,limanowski,Limanowa,miejska,OPS,301207011000,25,25,X,X,X,X
857,małopolskie,limanowski,Limanowa,wiejska,OPS,301207072000,22,22,X,X,X,X
858,małopolskie,limanowski,Łukowica,wiejska,OPS,301207082000,13,13,X,X,X,X
859,małopolskie,limanowski,Mszana Dolna,miejska,OPS,301207021000,8,8,X,X,X,X
860,małopolskie,limanowski,Mszana Dolna,wiejska,OPS,301207092000,17,17,X,X,X,X
861,małopolskie,limanowski,Niedźwiedź,wiejska,OPS,301207102000,9,9,X,X,X,X
862,małopolskie,limanowski,Słopnice,wiejska,OPS,301207112000,3,3,X,X,X,X
863,małopolskie,limanowski,Tymbark,wiejska,OPS,301207122000,6,6,X,X,X,X
864,małopolskie,miechowski,Charsznica,wiejska,OPS,301208012000,23,23,X,X,X,X
865,małopolskie,miechowski,Gołcza,wiejska,OPS,301208022000,12,12,X,X,X,X
866,małopolskie,miechowski,Kozłów,wiejska,OPS,301208032000,17,17,X,X,X,X
867,małopolskie,miechowski,Książ Wielki,wiejska,OPS,301208042000,4,4,X,X,X,X
868,małopolskie,miechowski,Miechów,miejsko-wiejska,OPS,301208053000,28,28,X,X,X,X
869,małopolskie,miechowski,Racławice,wiejska,OPS,301208062000,3,3,X,X,X,X
870,małopolskie,miechowski,Słaboszów,wiejska,OPS,301208072000,11,11,X,X,X,X
871,małopolskie,myślenicki,Dobczyce,miejsko-wiejska,OPS,301209013000,2,2,X,X,X,X
872,małopolskie,myślenicki,Lubień,wiejska,OPS,301209022000,17,17,X,X,X,X
873,małopolskie,myślenicki,Myślenice,miejsko-wiejska,OPS,301209033000,12,12,X,X,X,X
874,małopolskie,myślenicki,Pcim,wiejska,OPS,301209042000,5,5,X,X,X,X
875,małopolskie,myślenicki,Raciechowice,wiejska,OPS,301209052000,5,5,X,X,X,X
876,małopolskie,myślenicki,Siepraw,wiejska,OPS,301209062000,0,0,X,X,X,X
877,małopolskie,myślenicki,Sułkowice,miejsko-wiejska,OPS,301209073000,26,26,X,X,X,X
878,małopolskie,myślenicki,Tokarnia,wiejska,OPS,301209082000,15,15,X,X,X,X
879,małopolskie,myślenicki,Wiśniowa,wiejska,OPS,301209092000,13,13,X,X,X,X
880,małopolskie,nowosądecki,Chełmiec,miejsko-wiejska,OPS,301210022000,28,28,X,X,X,X
881,małopolskie,nowosądecki,Gródek nad Dunajcem,wiejska,OPS,301210032000,15,15,X,X,X,X
882,małopolskie,nowosądecki,Grybów,miejska,OPS,301210011000,4,4,X,X,X,X
883,małopolskie,nowosądecki,Grybów,wiejska,OPS,301210042000,19,19,X,X,X,X
884,małopolskie,nowosądecki,Kamionka Wielka,wiejska,OPS,301210052000,24,24,X,X,X,X
885,małopolskie,nowosądecki,Korzenna,wiejska,OPS,301210062000,17,17,X,X,X,X
886,małopolskie,nowosądecki,Krynica-Zdrój,miejsko-wiejska,OPS,301210073000,27,27,X,X,X,X
887,małopolskie,nowosądecki,Łabowa,wiejska,OPS,301210082000,11,11,X,X,X,X
888,małopolskie,nowosądecki,Łącko,wiejska,OPS,301210092000,24,24,X,X,X,X
889,małopolskie,nowosądecki,Łososina Dolna,wiejska,OPS,301210102000,8,8,X,X,X,X
