LP.,wojewodztwo,powiat,gmina,typ gminy,"typ
jednostki",KESO,razem,MRiPS,MSWIA,MZ,MEiN,MKDNiS
63,dolnośląskie,legnicki,Chojnów,miejska,OPS,300209011000,12,12,X,X,X,X
64,dolnośląskie,legnicki,Chojnów,wiejska,OPS,300209022000,11,11,X,X,X,X
65,dolnośląskie,legnicki,Krotoszyce,wiejska,OPS,300209032000,7,7,X,X,X,X
66,dolnośląskie,legnicki,Kunice,wiejska,OPS,300209042000,18,18,X,X,X,X
67,dolnośląskie,legnicki,Legnickie Pole,wiejska,OPS,300209052000,14,14,X,X,X,X
68,dolnośląskie,legnicki,Miłkowice,wiejska,OPS,300209062000,10,10,X,X,X,X
69,dolnośląskie,legnicki,Prochowice,miejsko-wiejska,OPS,300209073000,26,26,X,X,X,X
70,dolnośląskie,legnicki,Ruja,wiejska,OPS,300209082000,8,8,X,X,X,X
71,dolnośląskie,lubański,Leśna,miejsko-wiejska,OPS,300210033000,31,31,X,X,X,X
72,dolnośląskie,lubański,Lubań,miejska,OPS,300210011000,17,17,X,X,X,X
73,dolnośląskie,lubański,Lubań,wiejska,OPS,300210042000,15,15,X,X,X,X
74,dolnośląskie,lubański,Olszyna,miejsko-wiejska,OPS,300210052000,21,21,X,X,X,X
75,dolnośląskie,lubański,Platerówka,wiejska,OPS,300210062000,6,6,X,X,X,X
76,dolnośląskie,lubański,Siekierczyn,wiejska,OPS,300210072000,10,10,X,X,X,X
77,dolnośląskie,lubański,Świeradów-Zdrój,miejska,OPS,300210021000,1,1,X,X,X,X
78,dolnośląskie,lubiński,Lubin,miejska,OPS,300211011000,254,254,X,X,X,X
79,dolnośląskie,lubiński,Lubin,wiejska,OPS,300211022000,39,39,X,X,X,X
80,dolnośląskie,lubiński,Rudna,wiejska,OPS,300211032000,32,32,X,X,X,X
81,dolnośląskie,lubiński,Ścinawa,miejsko-wiejska,OPS,300211043000,13,13,X,X,X,X
82,dolnośląskie,lwówecki,Gryfów Śląski,miejsko-wiejska,OPS,300212013000,37,37,X,X,X,X
83,dolnośląskie,lwówecki,Lubomierz,miejsko-wiejska,OPS,300212023000,18,18,X,X,X,X
84,dolnośląskie,lwówecki,Lwówek Śląski,miejsko-wiejska,OPS,300212033000,32,32,X,X,X,X
85,dolnośląskie,lwówecki,Mirsk,miejsko-wiejska,OPS,300212043000,18,18,X,X,X,X
86,dolnośląskie,lwówecki,Wleń,miejsko-wiejska,OPS,300212053000,16,16,X,X,X,X
87,dolnośląskie,milicki,Cieszków,wiejska,OPS,300213012000,5,5,X,X,X,X
88,dolnośląskie,milicki,Krośnice,wiejska,OPS,300213022000,17,17,X,X,X,X
89,dolnośląskie,milicki,Milicz,miejsko-wiejska,OPS,300213033000,28,28,X,X,X,X
90,dolnośląskie,oleśnicki,Bierutów,miejsko-wiejska,OPS,300214023000,31,31,X,X,X,X
91,dolnośląskie,oleśnicki,Dobroszyce,wiejska,OPS,300214032000,30,30,X,X,X,X
92,dolnośląskie,oleśnicki,Dziadowa Kłoda,wiejska,OPS,300214042000,2,2,X,X,X,X
93,dolnośląskie,oleśnicki,Międzybórz,miejsko-wiejska,OPS,300214053000,0,0,X,X,X,X
94,dolnośląskie,oleśnicki,Oleśnica,miejska,OPS,300214011000,140,140,X,X,X,X
95,dolnośląskie,oleśnicki,Oleśnica,wiejska,OPS,300214062000,34,34,X,X,X,X
96,dolnośląskie,oleśnicki,Syców,miejsko-wiejska,OPS,300214073000,41,41,X,X,X,X
97,dolnośląskie,oleśnicki,Twardogóra,miejsko-wiejska,OPS,300214083000,11,11,X,X,X,X
98,dolnośląskie,oławski,Domaniów,wiejska,OPS,300215022000,0,0,X,X,X,X
99,dolnośląskie,oławski,Jelcz-Laskowice,miejsko-wiejska,OPS,300215033000,43,43,X,X,X,X
100,dolnośląskie,oławski,Oława,miejska,OPS,300215011000,76,76,X,X,X,X
101,dolnośląskie,oławski,Oława,wiejska,OPS,300215042000,12,12,X,X,X,X
102,dolnośląskie,polkowicki,Chocianów,miejsko-wiejska,OPS,300216013000,27,27,X,X,X,X
103,dolnośląskie,polkowicki,Gaworzyce,wiejska,OPS,300216022000,22,22,X,X,X,X
104,dolnośląskie,polkowicki,Grębocice,wiejska,OPS,300216032000,24,24,X,X,X,X
105,dolnośląskie,polkowicki,Polkowice,miejsko-wiejska,OPS,300216043000,148,148,X,X,X,X
106,dolnośląskie,polkowicki,Przemków,miejsko-wiejska,OPS,300216053000,14,14,X,X,X,X
107,dolnośląskie,polkowicki,Radwanice,wiejska,OPS,300216062000,16,16,X,X,X,X
108,dolnośląskie,strzeliński,Borów,wiejska,OPS,300217012000,8,8,X,X,X,X
109,dolnośląskie,strzeliński,Kondratowice,wiejska,OPS,300217022000,14,14,X,X,X,X
110,dolnośląskie,strzeliński,Przeworno,wiejska,OPS,300217032000,4,4,X,X,X,X
111,dolnośląskie,strzeliński,Strzelin,miejsko-wiejska,OPS,300217043000,0,0,X,X,X,X
112,dolnośląskie,strzeliński,Wiązów,miejsko-wiejska,OPS,300217053000,25,25,X,X,X,X
113,dolnośląskie,średzki,Kostomłoty,wiejska,OPS,300218012000,16,16,X,X,X,X
114,dolnośląskie,średzki,Malczyce,wiejska,OPS,300218022000,12,12,X,X,X,X
115,dolnośląskie,średzki,Miękinia,wiejska,OPS,300218032000,46,46,X,X,X,X
116,dolnośląskie,średzki,Środa Śląska,miejsko-wiejska,OPS,300218043000,0,0,X,X,X,X
117,dolnośląskie,średzki,Udanin,wiejska,OPS,300218052000,2,2,X,X,X,X
118,dolnośląskie,świdnicki,Dobromierz,wiejska,OPS,300219032000,19,19,X,X,X,X
119,dolnośląskie,świdnicki,Jaworzyna Śląska,miejsko-wiejska,OPS,300219043000,30,30,X,X,X,X
120,dolnośląskie,świdnicki,Marcinowice,wiejska,OPS,300219052000,10,10,X,X,X,X
121,dolnośląskie,świdnicki,Strzegom,miejsko-wiejska,OPS,300219063000,35,35,X,X,X,X
122,dolnośląskie,świdnicki,Świdnica,miejska,OPS,300219011000,178,178,X,X,X,X
123,dolnośląskie,świdnicki,Świdnica,wiejska,OPS,300219072000,26,26,X,X,X,X
124,dolnośląskie,świdnicki,Świebodzice,miejska,OPS,300219021000,52,52,X,X,X,X
125,dolnośląskie,świdnicki,Żarów,miejsko-wiejska,OPS,300219083000,56,56,X,X,X,X
126,dolnośląskie,trzebnicki,Oborniki Śląskie,miejsko-wiejska,OPS,300220013000,46,46,X,X,X,X
127,dolnośląskie,trzebnicki,Prusice,miejsko-wiejska,OPS,300220023000,14,14,X,X,X,X
128,dolnośląskie,trzebnicki,Trzebnica,miejsko-wiejska,OPS,300220033000,1,1,X,X,X,X
129,dolnośląskie,trzebnicki,Wisznia Mała,wiejska,OPS,300220042000,17,17,X,X,X,X
130,dolnośląskie,trzebnicki,Zawonia,wiejska,OPS,300220052000,15,15,X,X,X,X
131,dolnośląskie,trzebnicki,Żmigród,miejsko-wiejska,OPS,300220063000,26,26,X,X,X,X
132,dolnośląskie,m. Wałbrzych,M. Wałbrzych,miejska,MOPR,250265011000,520,520,X,X,X,X
133,dolnośląskie,wałbrzyski,Boguszów-Gorce,miejska,OPS,300221011000,40,40,X,X,X,X
134,dolnośląskie,wałbrzyski,Czarny Bór,wiejska,OPS,300221042000,5,5,X,X,X,X
135,dolnośląskie,wałbrzyski,Głuszyca,miejsko-wiejska,OPS,300221053000,23,23,X,X,X,X
136,dolnośląskie,wałbrzyski,Jedlina-Zdrój,miejska,OPS,300221021000,22,22,X,X,X,X
137,dolnośląskie,wałbrzyski,Mieroszów,miejsko-wiejska,OPS,300221063000,17,17,X,X,X,X
138,dolnośląskie,wałbrzyski,Stare Bogaczowice,wiejska,OPS,300221072000,0,0,X,X,X,X
139,dolnośląskie,wałbrzyski,Szczawno-Zdrój,miejska,OPS,300221031000,7,7,X,X,X,X
140,dolnośląskie,wałbrzyski,Walim,wiejska,OPS,300221082000,16,16,X,X,X,X
141,dolnośląskie,wołowski,Brzeg Dolny,miejsko-wiejska,OPS,300222013000,8,8,X,X,X,X
142,dolnośląskie,wołowski,Wińsko,wiejska,OPS,300222022000,8,8,X,X,X,X
143,dolnośląskie,wołowski,Wołów,miejsko-wiejska,OPS,300222033000,103,103,X,X,X,X
144,dolnośląskie,m. Wrocław,M. Wrocław,miejska,MOPR,250264011000,1833,1833,X,X,X,X
145,dolnośląskie,wrocławski,Czernica,wiejska,OPS,300223012000,30,30,X,X,X,X
146,dolnośląskie,wrocławski,Długołęka,wiejska,OPS,300223022000,65,65,X,X,X,X
147,dolnośląskie,wrocławski,Jordanów Śląski,wiejska,OPS,300223032000,10,10,X,X,X,X
148,dolnośląskie,wrocławski,Kąty Wrocławskie,miejsko-wiejska,OPS,300223043000,61,61,X,X,X,X
149,dolnośląskie,wrocławski,Kobierzyce,wiejska,OPS,300223052000,30,30,X,X,X,X
150,dolnośląskie,wrocławski,Mietków,wiejska,OPS,300223062000,15,15,X,X,X,X
151,dolnośląskie,wrocławski,Siechnice,miejsko-wiejska,OPS,300223083000,86,86,X,X,X,X
152,dolnośląskie,wrocławski,Sobótka,miejsko-wiejska,OPS,300223073000,20,20,X,X,X,X
153,dolnośląskie,wrocławski,Żórawina,wiejska,OPS,300223092000,49,49,X,X,X,X
154,dolnośląskie,ząbkowicki,Bardo,miejsko-wiejska,OPS,300224013000,15,15,X,X,X,X
155,dolnośląskie,ząbkowicki,Ciepłowody,wiejska,OPS,300224022000,3,3,X,X,X,X
156,dolnośląskie,ząbkowicki,Kamieniec Ząbkowicki,wiejska,OPS,300224032000,0,0,X,X,X,X
157,dolnośląskie,ząbkowicki,Stoszowice,wiejska,OPS,300224042000,18,18,X,X,X,X
158,dolnośląskie,ząbkowicki,Ząbkowice Śląskie,miejsko-wiejska,OPS,300224053000,24,24,X,X,X,X
159,dolnośląskie,ząbkowicki,Ziębice,miejsko-wiejska,OPS,300224063000,33,33,X,X,X,X
160,dolnośląskie,ząbkowicki,Złoty Stok,miejsko-wiejska,OPS,300224073000,3,3,X,X,X,X
161,dolnośląskie,zgorzelecki,Bogatynia,miejsko-wiejska,OPS,300225033000,79,79,X,X,X,X
162,dolnośląskie,zgorzelecki,Pieńsk,miejsko-wiejska,OPS,300225043000,16,16,X,X,X,X
163,dolnośląskie,zgorzelecki,Sulików,wiejska,OPS,300225052000,12,12,X,X,X,X
164,dolnośląskie,zgorzelecki,Węgliniec,miejsko-wiejska,OPS,300225063000,18,18,X,X,X,X
165,dolnośląskie,zgorzelecki,Zawidów,miejska,OPS,300225011000,4,4,X,X,X,X
166,dolnośląskie,zgorzelecki,Zgorzelec,miejska,OPS,300225021000,53,53,X,X,X,X
167,dolnośląskie,zgorzelecki,Zgorzelec,wiejska,OPS,300225072000,22,22,X,X,X,X
168,dolnośląskie,złotoryjski,Pielgrzymka,wiejska,OPS,300226032000,14,14,X,X,X,X
169,dolnośląskie,złotoryjski,Świerzawa,miejsko-wiejska,OPS,300226043000,13,13,X,X,X,X
170,dolnośląskie,złotoryjski,Wojcieszów,miejska,OPS,300226011000,7,7,X,X,X,X
171,dolnośląskie,złotoryjski,Zagrodno,wiejska,OPS,300226052000,16,16,X,X,X,X
172,dolnośląskie,złotoryjski,Złotoryja,miejska,OPS,300226021000,10,10,X,X,X,X
173,dolnośląskie,złotoryjski,Złotoryja,wiejska,OPS,300226062000,8,8,X,X,X,X
174,kujawsko - pomorskie,-,-,-,WPS,100400000000,3521,3521,X,X,X,X
175,kujawsko - pomorskie,aleksandrowski,Aleksandrów Kujawski,miejska,OPS,300401011000,4,4,X,X,X,X
176,kujawsko - pomorskie,aleksandrowski,Aleksandrów Kujawski,wiejska,OPS,300401042000,9,9,X,X,X,X
177,kujawsko - pomorskie,aleksandrowski,Bądkowo,wiejska,OPS,300401052000,3,3,X,X,X,X
178,kujawsko - pomorskie,aleksandrowski,Ciechocinek,miejska,OPS,300401021000,1,1,X,X,X,X
179,kujawsko - pomorskie,aleksandrowski,Koneck,wiejska,OPS,300401062000,1,1,X,X,X,X
180,kujawsko - pomorskie,aleksandrowski,Nieszawa,miejska,OPS,300401031000,6,6,X,X,X,X
181,kujawsko - pomorskie,aleksandrowski,Raciążek,wiejska,OPS,300401072000,3,3,X,X,X,X
182,kujawsko - pomorskie,aleksandrowski,Waganiec,wiejska,OPS,300401082000,6,6,X,X,X,X
183,kujawsko - pomorskie,aleksandrowski,Zakrzewo,wiejska,OPS,300401092000,1,1,X,X,X,X
184,kujawsko - pomorskie,brodnicki,Bobrowo,wiejska,OPS,300402022000,11,11,X,X,X,X
185,kujawsko - pomorskie,brodnicki,Brodnica,miejska,OPS,300402011000,102,102,X,X,X,X
186,kujawsko - pomorskie,brodnicki,Brodnica,wiejska,OPS,300402032000,13,13,X,X,X,X
187,kujawsko - pomorskie,brodnicki,Brzozie,wiejska,OPS,300402042000,1,1,X,X,X,X
188,kujawsko - pomorskie,brodnicki,Górzno,miejsko-wiejska,OPS,300402053000,0,0,X,X,X,X
189,kujawsko - pomorskie,brodnicki,Bartniczka,wiejska,OPS,300402062000,3,3,X,X,X,X
190,kujawsko - pomorskie,brodnicki,Jabłonowo Pomorskie,miejsko-wiejska,OPS,300402073000,13,13,X,X,X,X
191,kujawsko - pomorskie,brodnicki,Osiek,wiejska,OPS,300402082000,9,9,X,X,X,X
192,kujawsko - pomorskie,brodnicki,Świedziebnia,wiejska,OPS,300402092000,1,1,X,X,X,X
193,kujawsko - pomorskie,brodnicki,Zbiczno,wiejska,OPS,300402102000,8,8,X,X,X,X
194,kujawsko - pomorskie,bydgoski,Białe Błota,wiejska,OPS,300403012000,29,29,X,X,X,X
195,kujawsko - pomorskie,bydgoski,Dąbrowa Chełmińska,wiejska,OPS,300403022000,2,2,X,X,X,X
